,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
95,1002065,110030493464,CITY OF BEAUMONT LANDFILL,BEAUMONT,TX,30.035647,-94.13335,260009.75,,260009.75,,,HH,Municipal Landfills,Direct Emitter
96,1004159,110043806049,CITY OF CHATTANOOGA BIRCHWOOD LANDFILL,HARRISON,TN,35.192631,-85.082397,48598.25,,48598.25,,,HH,Municipal Landfills,Direct Emitter
97,1006286,110071160983,CITY OF CHATTANOOGA SUMMIT LANDFILL,OOLTEWAH,TN,35.05226,-85.0902,65651.0,,65651.0,,,HH,Municipal Landfills,Direct Emitter
98,1005318,110071161060,CITY OF CONWAY LANDFILL & MRF,CONWAY,AR,35.3309,-92.76255,96575.5,,96575.5,,,HH,Municipal Landfills,Direct Emitter
99,1002351,110034710436,CITY OF CORSICANA LANDFILL,CORSICANA,TX,32.099681,-96.416064,102502.0,,102502.0,,,HH,Municipal Landfills,Direct Emitter
100,1000372,110043814673,CITY OF DENTON LANDFILL,DENTON,TX,33.191973,-97.085008,97841.5,,97841.5,,,HH,Municipal Landfills,Direct Emitter
101,1007276,110034627367,CITY OF EDINBURG LANDFILL,EDINBURG,TX,26.398165,-98.129239,133863.0,,133863.0,,,HH,Municipal Landfills,Direct Emitter
102,1001614,110001505176,CITY OF FARGO LANDFILL,FARGO,ND,46.88357,-96.86716,233136.0,,233136.0,,,HH,Municipal Landfills,Direct Emitter
103,1004132,110043816136,CITY OF FLAGSTAFF - CINDER LAKE LANDFILL,FLAGSTAFF,AZ,35.30836,-111.51733,108377.25,,108377.25,,,HH,Municipal Landfills,Direct Emitter
104,1006224,110043781921,CITY OF FORT WORTH SOUTHEAST LANDFILL,KENNEDALE,TX,32.64838,-97.23834,147299.25,,147299.25,,,HH,Municipal Landfills,Direct Emitter
105,1000370,110015742829,CITY OF GARLAND CASTLE DRIVE LANDFILL,GARLAND,TX,32.933331,-96.583893,59904.75,,59904.75,,,HH,Municipal Landfills,Direct Emitter
106,1003683,110002373486,CITY OF GLENDALE - LANDFILL,GLENDALE,AZ,33.53645,-112.30267,44455.25,,44455.25,,,HH,Municipal Landfills,Direct Emitter
107,1000090,110070393975,CITY OF GRAND PRAIRIE LANDFILL,GRAND PRAIRIE,TX,32.771292,-96.96002,95546.0,,95546.0,,,HH,Municipal Landfills,Direct Emitter
108,1006978,110009717039,CITY OF GREENSBORO WHITE STREET LANDFILL,GREENSBORO,NC,36.1089,-79.72148,206466.75,,206466.75,,,HH,Municipal Landfills,Direct Emitter
